Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
8,RF,Ichiro Suzuki,27,157,738,692,127,242,34,8,8,69,56,14,30,53,0.35,0.381,0.457,0.838,126,316,3,8,4,4,10
3,2B,Bret Boone,32,158,690,623,118,206,37,3,37,141,5,5,40,110,0.331,0.372,0.578,0.95,153,360,11,9,5,13,5
9,DH,Edgar Martinez,38,132,581,470,80,144,40,1,23,116,4,1,93,90,0.306,0.423,0.543,0.966,160,255,11,9,0,9,9
2,1B,John Olerud,32,159,679,572,91,173,32,1,21,95,3,1,94,70,0.302,0.401,0.472,0.873,136,270,21,5,1,7,19
7,CF,Mike Cameron,28,150,633,540,99,144,30,5,25,110,34,5,69,155,0.267,0.353,0.48,0.832,123,259,13,10,1,13,3
1,C,Dan Wilson,32,123,408,377,44,100,20,1,10,42,3,2,20,69,0.265,0.305,0.403,0.708,90,152,6,2,8,1,0
5,3B,David Bell,28,135,510,470,62,122,28,0,15,64,2,1,28,59,0.26,0.303,0.415,0.718,92,195,8,3,5,4,1
6,LF,Al Martin,33,100,324,283,41,68,15,2,7,42,9,3,37,59,0.24,0.33,0.382,0.712,93,108,2,2,0,2,4
4,SS,Carlos Guillen,25,140,523,456,72,118,21,4,5,53,4,1,53,89,0.259,0.333,0.355,0.689,87,162,9,1,7,6,0
